SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
1,1.047495906,35,2,0.314566116,3871.0,8,0,2,1,3.0
1,2.258964143,33,2,0.032483758,2000.0,1,1,0,0,2.0
1,2.837806547,64,2,0.411417144,11000.0,8,0,2,0,2.0
0,0.972037284,53,2,0.178454842,3675.0,9,1,0,1,0.0
0,0.9999999,36,0,1.018654231,1500.0,3,1,1,1,0.0
1,0.632279534,41,2,0.034482759,5625.0,4,1,0,1,2.0
1,0.902786641,33,2,0.399556049,900.0,7,1,0,1,0.0
1,0.915549026,60,2,0.486458333,6719.0,9,1,1,1,0.0
0,0.032786885,46,2,0.459135216,4000.0,14,1,2,1,1.0
1,0.946323172,49,1,0.8109404990000001,2083.0,4,1,1,1,1.0
0,1.003997335,63,2,1.21627566,1363.0,6,1,1,0,0.0
1,0.9999999,48,1,0.003845168,3900.0,0,1,0,1,2.0
1,1.178928247,40,2,0.096074128,4100.0,5,0,0,1,2.0
0,0.9999999,37,2,0.373195113,2700.0,3,1,0,0,3.0
1,1.074616922,27,0,0.13064133,2946.0,3,1,0,1,0.0
1,0.88384755,44,2,0.234001648,3640.0,7,1,0,0,3.0
1,0.978680879,47,1,0.751689189,2959.0,5,1,1,1,3.0
0,1.3023255809999998,54,2,0.17303660699999998,6200.0,3,1,0,1,1.0
0,0.739710048,28,2,1.042714329,3300.0,8,1,2,1,0.0
0,0.867806442,52,2,0.5936016,4000.0,7,1,2,0,2.0
1,5.299401198,27,0,0.059970015,2000.0,4,0,0,0,0.0
0,1.080209043,25,0,0.212950891,2300.0,4,1,0,1,0.0
1,1.037792442,62,2,0.538690476,2687.0,5,1,1,0,1.0
1,0.66001283,40,2,0.113179449,6714.0,11,1,0,1,0.0
1,0.9999999,56,2,0.23072905,13400.0,3,1,2,1,2.0
1,0.568810397,39,1,0.213306586,2990.0,3,1,0,1,2.0
1,0.55909606,48,2,0.384248577,6500.0,18,1,1,1,1.0
0,0.887571346,41,2,0.690563277,4100.0,10,1,0,1,3.0
1,1.3766233769999998,29,1,0.417024936,1162.0,4,1,0,1,0.0
0,0.9999999,49,2,0.636675236,3500.0,2,1,2,1,0.0
1,0.668998824,58,2,0.449503795,3425.0,9,1,1,1,1.0
0,1.5632730730000002,62,2,0.034167971,3833.0,5,0,0,1,0.0
0,0.9999999,34,2,0.102748691,4583.0,5,1,0,1,3.0
1,0.9999999,45,2,0.015681288,4718.0,4,1,0,0,1.0
1,1.784053156,26,2,0.141130466,2812.0,2,0,0,0,1.0
0,1.007768111,39,2,0.5498013079999999,7800.0,20,0,2,1,1.0
0,0.957035854,49,2,0.305136795,7163.0,6,1,1,1,3.0
1,0.530889029,33,2,0.348663879,5500.0,17,1,3,0,1.0
0,1.439372325,46,1,0.16867469899999998,3900.0,7,1,0,0,0.0
1,1.602794411,31,1,0.262495969,3100.0,4,1,0,1,0.0
1,1.226932668,26,1,0.105839416,4109.0,5,1,0,0,2.0
1,4.387801743,45,0,0.43337931,14499.0,9,0,1,0,2.0
0,0.9999999,28,2,0.270331667,2200.0,7,1,0,0,0.0
1,0.7656332109999999,48,2,0.328185757,9000.0,15,1,1,1,2.0
0,1.401197605,39,1,0.103507481,4076.0,5,1,0,0,2.0
1,0.9999999,56,1,0.006750755,5628.0,4,1,0,1,0.0
0,0.779295208,51,2,0.18810378100000005,7245.0,7,1,0,1,3.0
1,0.9999999,66,2,0.0,4052.0,0,1,0,1,1.0
0,0.9999999,48,1,0.173971498,3718.0,1,1,0,1,2.0
0,1.067332983,45,2,0.108625162,6167.0,4,1,0,1,2.0
1,0.9999999,45,1,0.033570702,2948.0,3,1,0,1,2.0
0,1.221889055,44,0,0.691012418,4750.0,7,1,3,1,0.0
1,3.126245847,23,0,0.020899591,2200.0,0,1,0,0,0.0
0,0.774416406,57,2,0.509573542,4595.0,5,1,1,1,1.0
0,0.9999999,27,2,0.275329396,2200.0,3,0,0,1,0.0
1,0.9999999,30,2,0.122438781,2000.0,2,1,0,0,1.0
1,1.033898305,61,2,0.114571319,2600.0,6,1,0,0,0.0
1,0.763283712,55,2,0.303051198,5800.0,11,1,2,1,0.0
0,1.239520958,23,0,0.021140295,1560.0,1,1,0,1,0.0
0,0.562773128,53,2,0.254517222,7083.0,5,1,0,1,0.0
0,2.494657697,47,2,14.57801222,1800.0,10,0,0,0,0.0
0,0.6897470040000001,30,1,0.349544073,6250.0,8,1,2,1,0.0
1,0.638606676,26,2,0.900166389,600.0,6,1,0,0,0.0
0,1.413173653,22,1,0.174377224,280.0,3,1,0,1,0.0
1,2.059800664,54,1,0.144171779,1629.0,3,0,0,1,2.0
0,0.960159363,49,1,0.16345036,4300.0,4,1,0,1,0.0
1,0.9999999,41,1,0.133085156,2148.0,3,1,0,1,0.0
0,1.185628743,33,2,0.111083622,4041.0,3,0,0,1,0.0
0,0.851423083,49,1,0.419678148,7083.0,11,1,1,1,0.0
0,0.9999999,41,1,0.195219124,3764.0,3,1,0,1,2.0
0,1.063793621,46,2,0.122292569,3000.0,2,1,0,1,0.0
0,1.019492026,36,1,0.279520502,8925.0,4,1,1,1,0.0
0,0.50509898,50,2,0.695345557,2835.0,5,1,2,1,0.0
0,0.9999999,48,2,0.40628347,2800.0,5,1,1,1,0.0
1,0.978394066,31,0,0.024993057000000003,3600.0,2,1,0,1,3.0
1,1.391014975,37,1,2.103792415,500.0,3,1,1,0,0.0
1,0.9999999,36,2,0.08651295699999999,4900.0,0,1,0,0,1.0
0,0.7918858390000001,71,2,0.69356301,5514.0,14,1,1,1,0.0
0,5.214380826,26,0,0.7040737890000001,1300.0,7,0,0,0,0.0
0,0.9999999,34,1,0.59141143,3166.0,4,1,1,1,2.0
1,0.9999999,33,1,0.184670925,3600.0,3,1,0,1,0.0
1,0.991690597,52,1,0.677350228,10732.0,13,1,3,1,3.0
1,1.112299465,48,1,0.613412229,1520.0,6,1,0,1,0.0
1,0.554196903,45,1,0.247145735,5955.0,14,1,1,1,2.0
1,0.9999999,48,1,0.842205323,525.0,3,1,0,1,2.0
1,0.970967264,34,2,0.231963208,3478.0,11,1,0,0,3.0
0,1.381546135,46,2,0.119017571,10300.0,7,1,1,0,2.0
1,0.6852269390000001,56,1,0.56635139,3488.0,8,1,1,1,0.0
1,3.275905119,33,0,0.034649198,5800.0,6,0,0,0,2.0
1,0.9999999,35,2,0.298650568,2815.0,2,1,1,1,3.0
1,0.9999999,39,2,0.441233766,3079.0,6,1,0,0,0.0
0,1.114863364,26,0,0.353942984,2700.0,5,1,0,1,1.0
1,0.9999999,39,0,0.483481064,1240.0,1,1,0,1,2.0
1,0.9999999,55,1,0.495262566,6226.0,8,1,2,1,1.0
1,0.905118602,41,2,0.218593802,3000.0,4,1,0,0,0.0
1,0.7710457909999999,29,2,0.308676529,2500.0,6,1,2,0,3.0
1,0.583236127,29,2,0.323709051,1800.0,13,0,0,1,3.0
0,1.08624264,41,0,0.737644733,3540.0,7,1,0,1,0.0
1,0.9999999,27,2,0.15818707,4500.0,2,1,0,1,0.0
1,0.959170069,39,2,0.275891162,4740.0,6,1,0,1,2.0
