,ell0,ell1,ell2,ell-inf,redundancy,violation,ynn,success,avgtime
0,7.0,2.410029413713989,2.082082297139773,1.0,2,0,0.42399999999999993,1.0,18.882597925480223
1,5.0,0.23006548728432052,0.015217573071013362,0.08329011759087296,2,0,,,
2,5.0,0.2736633831216473,0.024466726941398235,0.1247224648793539,5,0,,,
3,8.0,3.5301319707547334,3.107793063639315,1.0,2,0,,,
4,8.0,3.2895434291138845,3.0204828157551513,1.0,4,0,,,
5,5.0,0.9175370428496095,0.2931404725839864,0.3989131927490234,5,0,,,
6,8.0,3.275132422136327,3.0427442003684018,1.0,7,0,,,
7,6.0,1.371115883502527,1.0387628232443775,1.0,3,0,,,
8,8.0,3.433546062021596,3.0661705115716784,1.0,4,0,,,
9,7.0,2.3274647335593373,2.0312857955207533,1.0,4,0,,,
10,6.0,1.560741679435653,1.0939056203366877,1.0,3,0,,,
11,5.0,0.33918098844893574,0.05033799919949158,0.2085524678230286,4,0,,,
12,9.0,4.247709962513962,4.016715142382717,1.0,4,0,,,
13,7.0,2.2334270512743783,2.0246071562829417,1.0,4,0,,,
14,7.0,2.3081211276474867,2.038776011786107,1.0,2,0,,,
15,6.0,1.4896029441973369,1.0861959944912012,1.0,2,0,,,
16,7.0,2.393779023527426,2.0428879145528844,1.0,4,0,,,
17,5.0,0.3275327014378376,0.02758753029133216,0.1,5,0,,,
18,7.0,2.3843119191279025,2.043806308798616,1.0,3,0,,,
19,8.0,3.3560234523445693,3.061512010923569,1.0,3,0,,,
20,8.0,3.2772044411496086,3.033458667007072,1.0,4,0,,,
21,5.0,0.13433394966310444,0.005631272136038947,0.056250000000000015,4,0,,,
22,6.0,1.3874709908873486,1.04320364013071,1.0,3,0,,,
23,8.0,3.402648444376388,3.0655219075736766,1.0,7,0,,,
24,9.0,4.665787840230086,4.24712242050181,1.0,5,0,,,
25,6.0,1.5219026590731635,1.1286987793530983,1.0,2,0,,,
26,8.0,3.257573651441177,3.01537537200526,1.0,3,0,,,
27,5.0,0.17264498096356368,0.009139738785631412,0.06481779089201668,1,0,,,
28,5.0,0.29822520832635696,0.03514241004526438,0.17056413613218607,1,0,,,
29,5.0,0.35043721221279145,0.04656898733672014,0.19410762786865232,1,0,,,
30,8.0,3.240972031932428,3.019094482047757,1.0,3,0,,,
31,7.0,2.2403165669952867,2.0166610008522294,1.0,5,0,,,
32,6.0,1.4903715735664116,1.150290969705464,1.0,2,0,,,
33,9.0,4.617462789466312,4.1274111540855785,1.0,3,0,,,
34,5.0,1.3334645462858128,1.0360428303816491,1.0,1,0,,,
35,8.0,3.487787794569318,3.0796189696692613,1.0,3,0,,,
36,9.0,4.253957902867265,4.014950437748525,1.0,4,0,,,
37,8.0,3.67757913005617,3.199252858461923,1.0,6,0,,,
38,7.0,2.595152652818138,2.183368497503461,1.0,4,0,,,
39,6.0,1.2811385459908415,1.0219103747527385,1.0,3,0,,,
40,5.0,0.1688118856542429,0.007892725181873993,0.062112061182657885,2,0,,,
41,5.0,0.1699269030571849,0.007682573198079122,0.06103965441385906,2,0,,,
42,7.0,2.355299672541504,2.033499548796484,1.0,6,0,,,
43,8.0,3.2130360842099943,3.0104670782638685,1.0,3,0,,,
44,6.0,1.4452414052135105,1.0616288660300701,1.0,4,0,,,
45,6.0,1.3125505666791861,1.0308591459202676,1.0,2,0,,,
46,5.0,1.276096986053338,1.0311498437517799,1.0,1,0,,,
47,8.0,3.447773900254303,3.0724886861344993,1.0,2,0,,,
48,8.0,3.243774423333578,3.014143502226991,1.0,3,0,,,
49,5.0,0.2797982288982894,0.021218677834420184,0.1,5,0,,,
50,6.0,1.1609891506232695,1.020408513413228,1.0,4,0,,,
51,7.0,2.1525052348593974,2.0070393206372494,1.0,3,0,,,
52,8.0,3.3037689269529507,3.0234730384385347,1.0,4,0,,,
53,7.0,2.1847905391059417,2.01290121033749,1.0,7,0,,,
54,7.0,2.2850524652675266,2.0206123136175047,1.0,5,0,,,
55,5.0,0.3011639098775938,0.030346704322703397,0.14425740436631812,0,0,,,
56,7.0,2.119915176745158,2.00905609175592,1.0,6,0,,,
57,6.0,1.3088837821505297,1.0264123185039558,1.0,3,0,,,
58,6.0,1.2512677422413836,1.0170539515791854,1.0,5,0,,,
59,6.0,1.2631330383123167,1.0266112110848935,1.0,4,0,,,
60,6.0,1.6301202733194589,1.1959540491286227,1.0,1,0,,,
61,5.0,0.1793427497804166,0.010413327841881792,0.06899178332686429,1,0,,,
62,6.0,1.2434932442999889,1.0260859317010906,1.0,3,0,,,
63,8.0,3.6754423410692763,3.1773529000322998,1.0,3,0,,,
64,5.0,0.3226559599051818,0.0308644217163161,0.1260477298376511,5,0,,,
65,8.0,3.12113023180141,3.0039210866389676,1.0,3,0,,,
66,6.0,1.4485855909330942,1.0615887225726504,1.0,3,0,,,
67,8.0,3.817003289387135,3.2570777684006336,1.0,2,0,,,
68,6.0,1.2529983496047314,1.0198123561732537,1.0,3,0,,,
69,9.0,4.386968434068685,4.065992926917988,1.0,4,0,,,
70,8.0,3.4085973916180716,3.045674127332349,1.0,3,0,,,
71,6.0,1.277006380877201,1.0267004561705397,1.0,3,0,,,
72,5.0,0.43362990133719775,0.08159115259068235,0.262849489847819,5,0,,,
73,5.0,0.1524206600610314,0.007048088255586977,0.06252053181330364,0,0,,,
74,6.0,1.3090456126334398,1.032690086717373,1.0,3,0,,,
75,7.0,2.2494388946215875,2.0200928119973125,1.0,3,0,,,
76,9.0,4.179971952206965,4.0083516925375,1.0,2,0,,,
77,8.0,3.5212016644199466,3.143807052554297,1.0,3,0,,,
78,5.0,1.4039299453475058,1.0539493200266268,1.0,1,0,,,
79,6.0,1.5511267131784385,1.1319404332282887,1.0,3,0,,,
80,5.0,0.16283011578853004,0.008547002408761405,0.07492568890253704,2,0,,,
81,8.0,3.2396441707607413,3.0143738725058036,1.0,1,0,,,
82,9.0,4.460066980348297,4.090672247427553,1.0,3,0,,,
83,8.0,3.381206775281716,3.0432572225051127,1.0,3,0,,,
84,6.0,1.3144828709051595,1.0342746430859222,1.0,4,0,,,
85,5.0,0.13251428592205086,0.005335280609598491,0.045703125000000004,1,0,,,
86,7.0,2.2358649686208047,2.012984421489803,1.0,3,0,,,
87,5.0,0.13184117118959082,0.007096996546178866,0.07405524483382189,2,0,,,
88,8.0,3.2332292306337576,3.0140899290285983,1.0,2,0,,,
89,5.0,0.27725238196039476,0.021325518116268767,0.1,5,0,,,
90,8.0,3.5645563406661815,3.099553119941065,1.0,3,0,,,
91,6.0,1.2700518788969684,1.0268085684710353,1.0,2,0,,,
92,8.0,3.3654752414975184,3.041394980797825,1.0,4,0,,,
93,5.0,1.3651928144612475,1.0461745474010864,1.0,3,0,,,
94,8.0,3.3439220805373053,3.04697734081232,1.0,3,0,,,
95,8.0,3.287823982445022,3.026961181599086,1.0,3,0,,,
96,8.0,3.2553570228280395,3.01473255637872,1.0,3,0,,,
97,8.0,3.274432370333323,3.01727784266018,1.0,3,0,,,
98,6.0,1.4202980387164617,1.0610674404338358,1.0,2,0,,,
99,6.0,1.3154855261929452,1.0311548105789252,1.0,3,0,,,
